studentId;Predmet;BrojKredita;Ocjena;PolozioDatum;Godina;SkolskaGodina;Semestar;Priznat;datum_upisa;Spol;ZavrsenaSkolaId;Srednja_skola;opstina_rodjenja;GodinaZavrsetka;datum_diplomiranja;nacin_studiranja;opstina_prebivalista
16503;P-24;4;10;29. lipnja 2020.;2;2019/2020;4;FALSE;21. srpnja 2018.;M;1;Gimnazija;Banja Luka;1999/2000;;DL;Sarajevo - Novi grad
16574;P-24;4;9;1. listopada 2019.;2;2020/2021;4;TRUE;7. studenog 2018.;M;2;Elektrotehnièka;Jablanica;2013/2014;;DL;Mostar
16453;P-24;4;6;21. lipnja 2021.;2;2020/2021;4;FALSE;23. kolovoza 2018.;M;13;Tehnièka;Goražde;2015/2016;;Vanredan;Goražde
16473;P-24;4;6;21. lipnja 2021.;2;2020/2021;4;FALSE;21. srpnja 2018.;M;1;Gimnazija;Sarajevo-Novo Sarajevo;2015/2016;;DL;Sarajevo-Novo Sarajevo
16443;P-24;4;7;8. rujna 2020.;2;2019/2020;4;FALSE;24. kolovoza 2018.;M;1;Gimnazija;Gradaèac;2011/12;;DL;Graèanica
16413;P-24;4;8;29. lipnja 2020.;2;2019/2020;4;FALSE;18. srpnja 2018.;Ž;1;Gimnazija;Gornji Vakuf;2014/15;;DL;Gornji Vakuf - Uskoplje
16489;P-24;4;8;21. lipnja 2021.;2;2020/2021;4;FALSE;20. srpnja 2018.;M;2;Elektrotehnièka;Sarajevo - Centar;2014/2015;;DL;Sarajevo - Novi grad
16528;P-24;4;7;13. srpnja 2022.;2;2021/2022;4;FALSE;25. rujna 2018.;M;8;Saobraæajna;Sarajevo - Centar;2014/2015;;DL;Ilidža
16574;P-247;6;7;2. srpnja 2021.;2;2020/2021;4;FALSE;7. studenog 2018.;M;2;Elektrotehnièka;Jablanica;2013/2014;;DL;Mostar
16413;P-247;6;7;10. rujna 2020.;2;2019/2020;4;FALSE;18. srpnja 2018.;Ž;1;Gimnazija;Gornji Vakuf;2014/15;;DL;Gornji Vakuf - Uskoplje
16503;P-247;6;7;2. srpnja 2020.;2;2019/2020;4;FALSE;21. srpnja 2018.;M;1;Gimnazija;Banja Luka;1999/2000;;DL;Sarajevo - Novi grad
16443;P-226;6;6;20. veljaèe 2020.;2;2019/2020;3;FALSE;24. kolovoza 2018.;M;1;Gimnazija;Gradaèac;2011/12;;DL;Graèanica
16413;P-226;6;7;20. veljaèe 2020.;2;2019/2020;3;FALSE;18. srpnja 2018.;Ž;1;Gimnazija;Gornji Vakuf;2014/15;;DL;Gornji Vakuf - Uskoplje
16574;P-148;6;7;4. rujna 2021.;2;2020/2021;4;FALSE;7. studenog 2018.;M;2;Elektrotehnièka;Jablanica;2013/2014;;DL;Mostar
16413;P-148;6;8;18. srpnja 2020.;2;2019/2020;4;FALSE;18. srpnja 2018.;Ž;1;Gimnazija;Gornji Vakuf;2014/15;;DL;Gornji Vakuf - Uskoplje
16413;P-177;7;8;4. rujna 2020.;2;2019/2020;3;FALSE;18. srpnja 2018.;Ž;1;Gimnazija;Gornji Vakuf;2014/15;;DL;Gornji Vakuf - Uskoplje
16574;P-177;7;8;15. rujna 2022.;2;2020/2021;3;FALSE;7. studenog 2018.;M;2;Elektrotehnièka;Jablanica;2013/2014;;DL;Mostar
16503;P-177;7;6;21. sijeènja 2020.;2;2019/2020;3;FALSE;21. srpnja 2018.;M;1;Gimnazija;Banja Luka;1999/2000;;DL;Sarajevo - Novi grad
16574;P-227;5;7;1. listopada 2019.;2;2020/2021;3;TRUE;7. studenog 2018.;M;2;Elektrotehnièka;Jablanica;2013/2014;;DL;Mostar
16503;P-227;5;8;27. sijeènja 2020.;2;2019/2020;3;FALSE;21. srpnja 2018.;M;1;Gimnazija;Banja Luka;1999/2000;;DL;Sarajevo - Novi grad
16589;P-227;5;6;1. listopada 2018.;2;2018/19;3;TRUE;16. studenog 2018.;M;2;Elektrotehnièka;Sarajevo - Centar;2011/2012;;DL;Sarajevo - Novi grad
16453;P-227;5;7;15. veljaèe 2021.;2;2020/2021;3;FALSE;23. kolovoza 2018.;M;13;Tehnièka;Goražde;2015/2016;;Vanredan;Goražde
16443;P-227;5;6;25. sijeènja 2021.;2;2019/2020;3;FALSE;24. kolovoza 2018.;M;1;Gimnazija;Gradaèac;2011/12;;DL;Graèanica
16413;P-227;5;7;27. sijeènja 2020.;2;2019/2020;3;FALSE;18. srpnja 2018.;Ž;1;Gimnazija;Gornji Vakuf;2014/15;;DL;Gornji Vakuf - Uskoplje
16528;P-227;5;6;24. veljaèe 2023.;2;2021/2022;3;FALSE;25. rujna 2018.;M;8;Saobraæajna;Sarajevo - Centar;2014/2015;;DL;Ilidža
16503;P-225;6;10;23. sijeènja 2020.;2;2019/2020;3;FALSE;21. srpnja 2018.;M;1;Gimnazija;Banja Luka;1999/2000;;DL;Sarajevo - Novi grad
16413;P-225;6;8;12. rujna 2020.;2;2019/2020;3;FALSE;18. srpnja 2018.;Ž;1;Gimnazija;Gornji Vakuf;2014/15;;DL;Gornji Vakuf - Uskoplje
